Nuklid,e_inh,e_ing,LE,LA,CA
,[Sv/Bq],[Sv/Bq],[Bq/kg],[Bq],{Bq/m^3]
,,,,,
Ag-111,1.60E-009,1.30E-009,8.00E+003,3.00E+006,5.00E+003
Ag-112,2.60E-010,4.30E-010,2.00E+004,2.00E+007,3.00E+004
Ag-115,4.40E-011,6.00E-011,2.00E+005,1.00E+008,2.00E+005
Cd-104,6.30E-011,5.80E-011,2.00E+005,8.00E+007,1.00E+005
Cd-107,1.10E-010,6.20E-011,2.00E+005,5.00E+007,8.00E+004
Cd-109,9.60E-009,2.00E-009,5.00E+003,5.00E+005,9.00E+002
Cd-113,1.40E-007,2.50E-008,4.00E+002,4.00E+004,6.00E+001
Cd-113m,1.30E-007,2.30E-008,4.00E+002,4.00E+004,6.00E+001
Cd-115,1.30E-009,1.40E-009,7.00E+003,4.00E+006,6.00E+003
Cd-115m,6.40E-009,3.30E-009,3.00E+003,8.00E+005,1.00E+003
Cd-117,2.50E-010,2.80E-010,4.00E+004,2.00E+007,3.00E+004
Cd-117m,3.20E-010,2.80E-010,4.00E+004,2.00E+007,3.00E+004
In-109,7.30E-011,6.60E-011,2.00E+005,7.00E+007,1.00E+005
In-110,2.50E-010,2.40E-010,4.00E+004,2.00E+007,3.00E+004
In-111,3.10E-010,2.90E-010,3.00E+004,2.00E+007,3.00E+004
In-112,1.30E-011,1.00E-011,1.00E+006,4.00E+008,6.00E+005
In-113m,3.20E-011,2.80E-011,4.00E+005,2.00E+008,3.00E+005
In-114m/In-114,1.10E-008,4.10E-009,2.00E+003,5.00E+005,8.00E+002
,,,,,
,,,,,
In-115,4.50E-007,3.20E-008,3.00E+002,1.00E+004,2.00E+001
In-115m,8.70E-011,8.60E-011,1.00E+005,6.00E+007,1.00E+005
In-116m,8.00E-011,6.40E-011,2.00E+005,6.00E+007,1.00E+005
In-117,4.80E-011,3.10E-011,3.00E+005,1.00E+008,2.00E+005
In-117m,1.10E-010,1.20E-010,8.00E+004,5.00E+007,8.00E+004
In-119m/In-119,2.90E-011,4.70E-011,2.00E+005,2.00E+008,3.00E+005
Sn-110,2.60E-010,3.50E-010,3.00E+004,2.00E+007,3.00E+004
Sn-111,2.20E-011,2.30E-011,4.00E+005,2.00E+008,4.00E+005
Sn-113,1.90E-009,7.30E-010,1.00E+004,3.00E+006,4.00E+003
Sn-117m,2.20E-009,7.10E-010,1.00E+004,2.00E+006,4.00E+003
Sn-119m,1.50E-009,3.40E-010,3.00E+004,3.00E+006,6.00E+003
Sn-121,2.80E-010,2.30E-010,4.00E+004,2.00E+007,3.00E+004
Sn-121m,3.30E-009,3.80E-010,3.00E+004,2.00E+006,3.00E+003
Sn-123,5.60E-009,2.10E-009,5.00E+003,9.00E+005,1.00E+003
Sn-123m,4.40E-011,3.80E-011,3.00E+005,1.00E+008,2.00E+005
